User;GameElement;QuestionCount;CorrectCount;QuizCount;PassedQuizCount;FullyCompletedLessonCount;Time;RestartedQuizCount;Gender;achiever;player;socialiser;freeSpirit;disruptor;philanthropist;micoI; miacI; mistI; meidI; meinI; mereI; amotI; micoF; miacF; mistF; meidF; meinF; mereF; amotF; micoVar; miacVar; mistVar; meidVar; meinVar; mereVar; amotVar
elevekf14;badges;32;19;5;3;0;00:20:35;0;Female;2;0;5;6;-5;7;13;19;12;11;12;15;5;10;19;12;13;14;15;12;-3;0;0;2;2;0;7
elevekf15;timer;130;75;24;9;1;01:36:53;0;Female;-11;-1;4;-2;-7;0;10;11;6;14;11;16;12;8;10;8;13;13;12;11;-2;-1;2;-1;2;-4;-1
elevekg01;score;137;117;29;21;4;02:19:27;1;Male;6;3;-2;4;-5;5;17;15;15;13;14;12;4;13;15;14;14;16;13;7;-4;0;-1;1;2;1;3
elevekg02;badges;161;136;30;25;4;02:30:54;2;Male;11;1;1;11;-5;11;19;18;18;18;8;7;4;14;16;16;17;11;10;6;-5;-2;-2;-1;3;3;2
elevekg03;timer;38;18;6;3;0;00:34:37;0;Male;-10;-4;-10;-2;0;-10;9;6;7;8;8;13;10;7;8;9;11;6;13;17;-2;2;2;3;-2;0;7
elevekg04;progress;19;10;4;1;0;00:15:07;0;Male;1;10;9;6;-6;10;16;18;12;13;15;17;9;13;19;9;11;16;18;11;-3;1;-3;-2;1;1;2
elevekg05;avatar;131;82;26;11;1;01:21:16;0;Male;6;3;-3;8;-1;1;19;16;17;18;13;15;4;13;17;17;20;17;16;7;-6;1;0;2;4;1;3
elevekg07;score;98;64;21;13;2;01:13:17;0;Male;3;3;9;6;0;6;16;15;11;12;12;17;8;14;14;11;18;16;11;8;-2;-1;0;6;4;-6;0
elevekg08;badges;87;40;18;2;0;01:06:11;0;Male;-1;12;8;7;-4;4;15;17;12;17;19;19;7;14;18;13;18;18;19;10;-1;1;1;1;-1;0;3
elevekg10;progress;77;49;15;6;0;01:19:10;0;Male;11;6;-3;4;11;3;7;14;9;17;5;9;7;11;18;9;13;12;10;8;4;4;0;-4;7;1;1
elevekg11;avatar;58;35;11;5;0;00:45:53;0;Male;0;7;5;1;-11;4;8;15;6;6;6;10;7;9;10;8;9;6;11;11;1;-5;2;3;0;1;4
elevekg14;ranking;99;54;19;6;0;01:18:11;1;Male;4;11;0;8;-5;0;16;15;14;20;12;14;4;14;19;15;20;18;19;8;-2;4;1;0;6;5;4
elevecf03;timer;159;123;30;22;3;02:47:58;0;Female;12;12;9;9;0;12;20;20;20;20;20;20;4;14;20;15;19;19;20;8;-6;0;-5;-1;-1;0;4
